Title,Artist
"Blessed Assurance (Modern Arrangement)","Modern Arrangement"
"All Creatures of Our God and King (Modern Arrangement)","Modern Arrangement"
"O Come All Ye Faithful (Modern Arrangement)","Modern Arrangement"
"Joy to the World (Modern Arrangement)","Modern Arrangement"
"I Speak Jesus","Charity Gayle"
"This Is Our God","Phil Wickham"
"God So Loved","We The Kingdom"
"The Joy","The Belonging Co"
"No One Like The Lord (We Crown You)","Circuit Rider Music"
"Our God Reigns (Over All The Earth)","Martin Smith, Kari Jobe & Cody Carnes"
"What An Awesome God","Phil Wickham"
"Wonderful Counselor","Pat Barrett"
"The Gift We Bring","The Belonging Co"
"Rejoice Again","Lakewood Music"
"What A Savior","Rock City Worship"
"All This In A Name","Pat Barrett"
"Our Response","Bella Taylor Smith"
"Forever & Amen","Cody Carnes"
"Garment Of Praise","Martin Smith"
"Undignified","Brooke Ligertwood & Passion"
"Praise The Lord Forever","Pat Barrett"
"Hallelujah In The Hard Things","Bryan & Katie Torwalt"
"Worship!","TAYA"
"Keep On Finding More","John Allan & Mack Brock"
"How Good It Is","Chris Tomlin"
"Hallelujah Everyday","The Belonging Co"
"I Will Rise","Chris Tomlin"
"Your Grace Is Enough","Matt Maher"
"Your Great Name","Natalie Grant"
"From The Inside Out","Hillsong UNITED"
"Lead Me To The Cross","Hillsong UNITED"
"Because He Lives (Amen)","Matt Maher"
"It Is Well (Kristene DiMarco / Bethel Music)","Bethel Music"
"Great I Am","New Life Worship"
"Today Is The Day","Lincoln Brewster"
"Christ Is Risen","Matt Maher"
"Happy Day","Tim Hughes"
"How Marvelous (I Stand Amazed)","Modern Arrangement"
"Everlasting God","Brenton Brown"
"You Are Good","Israel Houghton"
"Crown Him (Majesty)","Hillsong Worship"
"Noel","Chris Tomlin"
"O The Blood","Gateway Worship"
"Worthy Is The Lamb","Hillsong Worship"
"Love The Lord","Lincoln Brewster"
"Hark The Herald (with King Of Heaven)","Bethel Music"
"Your Name","Paul Baloche"
"God Of This City","Bluetree"
